order_id,product_id,origin_port,destination_port,carrier,transportation_mode,tpt,weight,unit_quantity,estimated_distance_km,carbon_footprint_kg
1447296400.0,1700106,PORT09,PORT09,V44_3,Sea,1,14.3,808,350,0.07507500100135803
1447158000.0,1700106,PORT09,PORT09,V44_3,Sea,1,87.94,3188,350,0.4616850128173828
1447139000.0,1700106,PORT09,PORT09,V44_3,Sea,1,61.2,2331,350,0.3213000040054321
1447363600.0,1700106,PORT09,PORT09,V44_3,Sea,1,16.16,847,350,0.08483999919891357
1447364000.0,1700106,PORT09,PORT09,V44_3,Sea,1,52.34,2163,350,0.2747850008010864
1447351400.0,1700106,PORT09,PORT09,V44_3,Sea,1,92.8,3332,350,0.48720001602172847
1447320200.0,1700106,PORT09,PORT09,V44_3,Sea,1,46.9,1782,350,0.24622500801086425
1447158000.0,1700106,PORT09,PORT09,V44_3,Sea,1,2.86,427,350,0.01501499944925308
1447219300.0,1700106,PORT09,PORT09,V44_3,Sea,1,26.6,1291,350,0.13965000200271604
1447398400.0,1700106,PORT09,PORT09,V44_3,Sea,1,62.2,2294,350,0.3265500040054321
1447381600.0,1700106,PORT09,PORT09,V44_3,Sea,1,75.5,2766,350,0.396375
1447170800.0,1700106,PORT09,PORT09,V44_3,Sea,1,14.3,798,350,0.07507500100135803
1447155100.0,1697884,PORT09,PORT09,V44_3,Sea,1,73.9,739,350,0.3879750080108642
1447257200.0,1697884,PORT09,PORT09,V44_3,Sea,1,7.8,280,350,0.04095000100135803
1447241000.0,1697884,PORT09,PORT09,V44_3,Sea,1,59.5,574,350,0.31237499999999996
1447257200.0,1697884,PORT09,PORT09,V44_3,Sea,1,52.7,556,350,0.2766750040054321
1447260700.0,1697884,PORT09,PORT09,V44_3,Sea,1,58.5,544,350,0.307125
1447139300.0,1697884,PORT09,PORT09,V44_3,Sea,1,181.7,1151,350,0.9539249839782714
1447308500.0,1697884,PORT09,PORT09,V44_3,Sea,1,227.2,1404,350,1.1927999839782715
1447191300.0,1697884,PORT09,PORT09,V44_3,Sea,1,74.1,662,350,0.3890249919891357
1447191300.0,1699336,PORT09,PORT09,V44_3,Sea,1,80.43,836,350,0.4222575016021728
1447352400.0,1702652,PORT09,PORT09,V44_3,Sea,1,265.1,2063,350,1.391775032043457
1447211800.0,1699337,PORT09,PORT09,V44_3,Sea,1,267.1,2114,350,1.402275032043457
1447232900.0,1699337,PORT09,PORT09,V44_3,Sea,1,271.1,2108,350,1.4232750320434568
1447205100.0,1699336,PORT09,PORT09,V44_3,Sea,1,112.6,1120,350,0.5911499919891356
1447366000.0,1702654,PORT09,PORT09,V44_3,Sea,1,61.8,706,350,0.32444999599456786
1447157100.0,1699336,PORT09,PORT09,V44_3,Sea,1,107.88,889,350,0.5663699855804443
1447398400.0,1702652,PORT09,PORT09,V44_3,Sea,1,216.57,1793,350,1.1369925384521484
1447377300.0,1702652,PORT09,PORT09,V44_3,Sea,1,27.81,491,350,0.14600249719619748
1447257200.0,1699337,PORT09,PORT09,V44_3,Sea,1,112.6,1044,350,0.5911499919891356
1447369000.0,1702653,PORT09,PORT09,V44_3,Sea,1,32.9,447,350,0.17272500801086424
1447308500.0,1699336,PORT09,PORT09,V44_3,Sea,1,13.36,328,350,0.07013999819755554
1447398500.0,1702652,PORT09,PORT09,V44_3,Sea,1,106.88,973,350,0.5611199855804443
1447377300.0,1702652,PORT09,PORT09,V44_3,Sea,1,129.14,1179,350,0.6779849967956543
1447366000.0,1702653,PORT09,PORT09,V44_3,Sea,1,74.25,814,350,0.38981249999999995
1447223000.0,1699336,PORT09,PORT09,V44_3,Sea,1,171.22,1464,350,0.8989050064086913
1447260700.0,1699337,PORT09,PORT09,V44_3,Sea,1,6.18,347,350,0.032444999098777766
1447299200.0,1699336,PORT09,PORT09,V44_3,Sea,1,77.25,771,350,0.40556249999999994
1447330000.0,1702652,PORT09,PORT09,V44_3,Sea,1,27.9,469,350,0.14647499799728392
1447260700.0,1699336,PORT09,PORT09,V44_3,Sea,1,15.45,382,350,0.08111249899864197
1447157100.0,1699337,PORT09,PORT09,V44_3,Sea,1,43.17,507,350,0.22664249038696288
1447205100.0,1699336,PORT09,PORT09,V44_3,Sea,1,16.45,419,350,0.08636250400543212
1447398400.0,1702654,PORT09,PORT09,V44_3,Sea,1,33.9,452,350,0.17797500801086424
1447257200.0,1699336,PORT09,PORT09,V44_3,Sea,1,24.72,486,350,0.12977999639511106
1447241000.0,1699336,PORT09,PORT09,V44_3,Sea,1,60.8,729,350,0.31919999599456783
1447398500.0,1702652,PORT09,PORT09,V44_3,Sea,1,19.54,366,350,0.10258500480651854
1447398400.0,1702653,PORT09,PORT09,V44_3,Sea,1,43.26,539,350,0.2271149911880493
1447308500.0,1699337,PORT09,PORT09,V44_3,Sea,1,9.27,304,350,0.048667502403259275
1447241000.0,1699337,PORT09,PORT09,V44_3,Sea,1,46.35,544,350,0.24333749198913573
1447191300.0,1699337,PORT09,PORT09,V44_3,Sea,1,65.8,679,350,0.3454500160217285
1447232800.0,1699336,PORT09,PORT09,V44_3,Sea,1,101.7,868,350,0.5339249839782715
1447377300.0,1702654,PORT09,PORT09,V44_3,Sea,1,66.8,672,350,0.3507000160217285
1447211500.0,1699336,PORT09,PORT09,V44_3,Sea,1,84.7,890,350,0.44467498397827143
1447257200.0,1699336,PORT09,PORT09,V44_3,Sea,1,78.34,801,350,0.4112849807739257
1447366000.0,1702652,PORT09,PORT09,V44_3,Sea,1,46.35,605,350,0.24333749198913573
1447299200.0,1699337,PORT09,PORT09,V44_3,Sea,1,89.7,897,350,0.4709249839782714
1447257500.0,1697883,PORT09,PORT09,V44_3,Sea,1,83.4,840,350,0.4378500080108642
1447260700.0,1697883,PORT09,PORT09,V44_3,Sea,1,50.68,631,350,0.2660700016021728
1447296400.0,1700035,PORT09,PORT09,V44_3,Sea,1,15.4,1287,350,0.08084999799728393
1447363600.0,1700035,PORT09,PORT09,V44_3,Sea,1,48.2,3308,350,0.2530500040054321
1447320200.0,1700035,PORT09,PORT09,V44_3,Sea,1,31.26,2233,350,0.1641150012016296
1447202400.0,1700035,PORT09,PORT09,V44_3,Sea,1,16.4,1276,350,0.08609999799728393
1447211500.0,1700035,PORT09,PORT09,V44_3,Sea,1,14.4,1325,350,0.07559999799728392
1447219300.0,1700035,PORT09,PORT09,V44_3,Sea,1,7.7,735,350,0.040424998998641964
1447320200.0,1700035,PORT09,PORT09,V44_3,Sea,1,16.4,1294,350,0.08609999799728393
1447158000.0,1700035,PORT09,PORT09,V44_3,Sea,1,6.16,696,350,0.032339999198913574
1447260700.0,1700035,PORT09,PORT09,V44_3,Sea,1,42.2,3333,350,0.22155000400543212
1447158000.0,1700035,PORT09,PORT09,V44_3,Sea,1,38.04,2928,350,0.19971000480651854
1447191300.0,1700035,PORT09,PORT09,V44_3,Sea,1,14.4,1279,350,0.07559999799728392
1447170800.0,1700035,PORT09,PORT09,V44_3,Sea,1,16.4,1320,350,0.08609999799728393
1447139000.0,1700035,PORT09,PORT09,V44_3,Sea,1,32.8,2285,350,0.17219999599456787
1447241000.0,1700035,PORT09,PORT09,V44_3,Sea,1,23.1,1819,350,0.12127500200271606
1447320200.0,1700035,PORT09,PORT09,V44_3,Sea,1,1.54,339,350,0.008084999799728394
1447351400.0,1700035,PORT09,PORT09,V44_3,Sea,1,66.6,4302,350,0.3496499919891357
1447381600.0,1700035,PORT09,PORT09,V44_3,Sea,1,42.2,3322,350,0.22155000400543212
1447178800.0,1700035,PORT09,PORT09,V44_3,Sea,1,7.7,781,350,0.040424998998641964
1447398400.0,1700035,PORT09,PORT09,V44_3,Sea,1,43.2,3266,350,0.2268000040054321
1447191300.0,1697317,PORT09,PORT09,V44_3,Sea,1,457.16,2716,350,2.400090019226074
1447308700.0,1696799,PORT09,PORT09,V44_3,Sea,1,245.08,1498,350,1.286670009613037
1447155100.0,1696799,PORT09,PORT09,V44_3,Sea,1,54.52,617,350,0.28623000240325924
1447155100.0,1696799,PORT09,PORT09,V44_3,Sea,1,113.04,898,350,0.5934600048065185
1447260700.0,1696799,PORT09,PORT09,V44_3,Sea,1,56.52,555,350,0.29673000240325925
1447398400.0,1697317,PORT09,PORT09,V44_3,Sea,1,820.44,4377,350,4.307310012817382
1447191300.0,1697317,PORT09,PORT09,V44_3,Sea,1,60.52,540,350,0.31773000240325927
1447202200.0,1697317,PORT09,PORT09,V44_3,Sea,1,121.04,887,350,0.6354600048065185
1447260700.0,1696799,PORT09,PORT09,V44_3,Sea,1,302.6,1803,350,1.588650032043457
1447143200.0,1697317,PORT09,PORT09,V44_3,Sea,1,144.88,936,350,0.7606200256347656
1447241000.0,1697317,PORT09,PORT09,V44_3,Sea,1,368.12,2040,350,1.9326299743652342
1447155100.0,1696799,PORT09,PORT09,V44_3,Sea,1,498.68,3003,350,2.6180699615478513
1447232900.0,1697317,PORT09,PORT09,V44_3,Sea,1,384.12,2095,350,2.0166299743652343
1447178800.0,1696799,PORT09,PORT09,V44_3,Sea,1,337.12,2034,350,1.7698799743652343
1447308700.0,1696799,PORT09,PORT09,V44_3,Sea,1,136.88,973,350,0.7186200256347656
1447143200.0,1697317,PORT09,PORT09,V44_3,Sea,1,37.68,529,350,0.19782000160217283
1447254000.0,1696799,PORT09,PORT09,V44_3,Sea,1,525.68,2992,350,2.7598199615478514
1447170800.0,1696799,PORT09,PORT09,V44_3,Sea,1,369.12,2066,350,1.9378799743652342
1447219300.0,1696799,PORT09,PORT09,V44_3,Sea,1,644.24,3914,350,3.3822599487304683
1447296500.0,1697317,PORT09,PORT09,V44_3,Sea,1,164.56,1222,350,0.8639399871826171
1447232900.0,1696799,PORT09,PORT09,V44_3,Sea,1,717.24,3876,350,3.7655099487304686
1447139000.0,1697317,PORT09,PORT09,V44_3,Sea,1,345.12,2079,350,1.8118799743652343
1447178800.0,1697317,PORT09,PORT09,V44_3,Sea,1,184.56,1136,350,0.9689399871826171
1447139000.0,1696799,PORT09,PORT09,V44_3,Sea,1,777.24,3931,350,4.080509948730469
1447211500.0,1696799,PORT09,PORT09,V44_3,Sea,1,434.64,2393,350,2.2818600769042967
1447364400.0,1697317,PORT09,PORT09,V44_3,Sea,1,257.76,1655,350,1.353240051269531
1447260700.0,1697317,PORT09,PORT09,V44_3,Sea,1,345.12,2078,350,1.8118799743652343
1447398400.0,1697317,PORT09,PORT09,V44_3,Sea,1,148.88,946,350,0.7816200256347655
1447308500.0,1697317,PORT09,PORT09,V44_3,Sea,1,335.12,2120,350,1.7593799743652343
1447202400.0,1697317,PORT09,PORT09,V44_3,Sea,1,195.56,1230,350,1.0266899871826172
1447351400.0,1697317,PORT09,PORT09,V44_3,Sea,1,344.12,2115,350,1.8066299743652343
1447158000.0,1696799,PORT09,PORT09,V44_3,Sea,1,346.12,2045,350,1.8171299743652343
1447316600.0,1697317,PORT09,PORT09,V44_3,Sea,1,134.88,935,350,0.7081200256347656
1447155100.0,1697317,PORT09,PORT09,V44_3,Sea,1,540.68,2943,350,2.8385699615478512
1447329900.0,1697317,PORT09,PORT09,V44_3,Sea,1,567.68,2936,350,2.9803199615478513
1447191300.0,1696799,PORT09,PORT09,V44_3,Sea,1,484.68,2985,350,2.544569961547851
1447373200.0,1697317,PORT09,PORT09,V44_3,Sea,1,521.68,2938,350,2.7388199615478515
1447364000.0,1697317,PORT09,PORT09,V44_3,Sea,1,83.36,716,350,0.43764000320434565
1447211500.0,1696799,PORT09,PORT09,V44_3,Sea,1,813.28,4464,350,4.269720153808593
1447202400.0,1696799,PORT09,PORT09,V44_3,Sea,1,331.12,2109,350,1.7383799743652342
1447241200.0,1696799,PORT09,PORT09,V44_3,Sea,1,504.68,2978,350,2.649569961547851
1447143200.0,1696799,PORT09,PORT09,V44_3,Sea,1,333.12,2100,350,1.7488799743652341
1447158000.0,1697317,PORT09,PORT09,V44_3,Sea,1,341.12,2066,350,1.7908799743652342
1447170800.0,1697317,PORT09,PORT09,V44_3,Sea,1,508.68,2972,350,2.6705699615478515
1447254000.0,1697317,PORT09,PORT09,V44_3,Sea,1,348.12,2069,350,1.8276299743652342
1447316600.0,1697317,PORT09,PORT09,V44_3,Sea,1,404.8,2233,350,2.1251999359130855
1447381600.0,1697317,PORT09,PORT09,V44_3,Sea,1,353.12,2088,350,1.853879974365234
1447178800.0,1696798,PORT09,PORT09,V44_3,Sea,1,417.92,2665,350,2.1940800704956054
1447202400.0,1696798,PORT09,PORT09,V44_3,Sea,1,308.36,1961,350,1.618889923095703
1447139000.0,1696798,PORT09,PORT09,V44_3,Sea,1,524.16,2974,350,2.751839859008789
1447296500.0,1696798,PORT09,PORT09,V44_3,Sea,1,397.6,2322,350,2.087400032043457
1447296500.0,1696798,PORT09,PORT09,V44_3,Sea,1,132.56,950,350,0.6959399871826172
1447358700.0,1696798,PORT09,PORT09,V44_3,Sea,1,292.36,1942,350,1.534889923095703
1447202400.0,1696798,PORT09,PORT09,V44_3,Sea,1,19.08,352,350,0.10016999959945677
1447143200.0,1696798,PORT09,PORT09,V44_3,Sea,1,176.72,1208,350,0.9277800064086913
1447202200.0,1696798,PORT09,PORT09,V44_3,Sea,1,293.44,2117,350,1.5405600128173826
1447211500.0,1696798,PORT09,PORT09,V44_3,Sea,1,341.44,2087,350,1.7925600128173826
1447158000.0,1696798,PORT09,PORT09,V44_3,Sea,1,608.88,3927,350,3.196620025634765
1447352400.0,1696798,PORT09,PORT09,V44_3,Sea,1,641.04,4090,350,3.3654598846435544
1447155100.0,1696798,PORT09,PORT09,V44_3,Sea,1,704.88,3851,350,3.700620025634765
1447170800.0,1696798,PORT09,PORT09,V44_3,Sea,1,619.88,3927,350,3.254370025634765
1447191300.0,1696798,PORT09,PORT09,V44_3,Sea,1,676.88,3845,350,3.5536200256347654
1447306600.0,1699333,PORT04,PORT09,V44_3,Sea,4,3.0082514,1529,1400,0.06317328000068664
1447306500.0,1699268,PORT04,PORT09,V44_3,Sea,4,2.6533597,1495,1400,0.05572055268287658
1447392900.0,1699268,PORT04,PORT09,V44_3,Sea,4,1.3266798,899,1400,0.02786027634143829
1447306500.0,1699268,PORT04,PORT09,V44_3,Sea,4,2.6533597,1437,1400,0.05572055268287658
1447189600.0,1699584,PORT04,PORT09,V44_3,Sea,4,5.94,1914,1400,0.12474000120162963
1447189600.0,1699584,PORT04,PORT09,V44_3,Sea,4,5.94,1956,1400,0.12474000120162963
1447189600.0,1699584,PORT04,PORT09,V44_3,Sea,4,5.94,1964,1400,0.12474000120162963
1447406000.0,1699584,PORT04,PORT09,V44_3,Sea,0,5.94,1961,0,0.0
